date,week,buyer,category,item,qty,amount,target,margin,ontime
2025-09-01,2025-W36,Alice,CPU,AMD Ryzen 7 7800X,50,750000,700000,0.12,1
2025-09-02,2025-W36,Alice,Motherboard,ASUS TUF X670,40,560000,520000,0.10,1
2025-09-03,2025-W36,Bob,GPU,MSI RTX 4070,30,1050000,1100000,0.08,0
2025-09-04,2025-W36,Bob,SSD,Samsung 990 Pro 2TB,60,480000,450000,0.15,1
2025-09-05,2025-W36,Carol,PSU,Seasonic Focus 850W,45,270000,250000,0.13,1
2025-09-08,2025-W37,Alice,CPU,Intel i7-14700K,40,840000,800000,0.11,0
2025-09-09,2025-W37,Bob,GPU,GIGABYTE RTX 4080,20,1600000,1500000,0.07,1
2025-09-10,2025-W37,Carol,Case,Fractal North,35,245000,240000,0.18,1
2025-09-11,2025-W37,Carol,PSU,Seasonic Prime 1000W,25,300000,290000,0.12,1
2025-09-12,2025-W37,Alice,SSD,WD SN850X 2TB,50,400000,420000,0.14,0
